ENCENAÇÃO TEATRAL 3,158330,6,         Departamento: CEN - Departamento de Artes Cênicas         
ESTÁGIO SUPERVISIONADO EM ARTES CÊNICAS 1,157155,6,         Departamento: CEN - Departamento de Artes Cênicas         
ESTÁGIO SUPERVISIONADO EM ARTES CÊNICAS 2,157163,6,         Departamento: CEN - Departamento de Artes Cênicas         
FUNDAMENTOS DA EDUCACAO ARTISTICA,156949,4,         Departamento: CEN - Departamento de Artes Cênicas         
INTERPRETAÇÃO E MONTAGEM,158267,10,         Departamento: CEN - Departamento de Artes Cênicas         
INTERPRETAÇÃO TEATRAL 1,158216,6,         Departamento: CEN - Departamento de Artes Cênicas         
INTERPRETAÇÃO TEATRAL 2,158224,6,         Departamento: CEN - Departamento de Artes Cênicas         
INTERPRETAÇÃO TEATRAL 3,158232,6,         Departamento: CEN - Departamento de Artes Cênicas         
INTERPRETAÇÃO TEATRAL 4,158241,6,         Departamento: CEN - Departamento de Artes Cênicas         
LABORATÓRIO DE TEATRO,158437,4,         Departamento: CEN - Departamento de Artes Cênicas         
LABORATÓRIO INTERARTÍSTICO,204307,8,         Departamento: CEN - Departamento de Artes Cênicas         
METODOLOGIA DE PESQUISA EM ARTES CÊNICAS,158348,6,         Departamento: CEN - Departamento de Artes Cênicas         
METODOLOGIA DE PESQUISA EM ARTES CÊNICAS E EDUCAÇÃO,158399,4,         Departamento: CEN - Departamento de Artes Cênicas         
METODOLOGIA DO ENSINO DO TEATRO 1,158372,4,         Departamento: CEN - Departamento de Artes Cênicas         
METODOLOGIA DO ENSINO DO TEATRO 2,158381,6,         Departamento: CEN - Departamento de Artes Cênicas         
MOVIMENTO E LINGUAGEM 1,158275,4,         Departamento: CEN - Departamento de Artes Cênicas         
MOVIMENTO E LINGUAGEM 2,158283,4,         Departamento: CEN - Departamento de Artes Cênicas         
MOVIMENTO E LINGUAGEM 3,158291,4,         Departamento: CEN - Departamento de Artes Cênicas         
MOVIMENTO E LINGUAGEM 4,158305,4,         Departamento: CEN - Departamento de Artes Cênicas         
POÉTICAS TEATRAIS,158143,4,         Departamento: CEN - Departamento de Artes Cênicas         
PRÁTICA DE MONTAGEM,158259,8,         Departamento: CEN - Departamento de Artes Cênicas         
PROJETO EM INTERPRETAÇÃO TEATRAL,106119,14,         Departamento: CEN - Departamento de Artes Cênicas         
SONOPLASTIA 1,156779,6,         Departamento: CEN - Departamento de Artes Cênicas         
TEATRALIDADES BRASILEIRAS,158160,4,         Departamento: CEN - Departamento de Artes Cênicas         
TECNICAS EXPERIMENTAIS DE ARTES CENICAS 1,153915,4,         Departamento: CEN - Departamento de Artes Cênicas         
TECNICAS EXPERIMENTAIS DE ARTES CENICAS 2,153923,4,         Departamento: CEN - Departamento de Artes Cênicas         
TEORIAS E PROCESSOS CRIATIVOS PARA A CENA,158151,4,         Departamento: CEN - Departamento de Artes Cênicas         
TRABALHO DE CONCLUSÃO DE CURSO EM INTEREPRETAÇÃO TEATRAL 1,106089,2,         Departamento: CEN - Departamento de Artes Cênicas         
TRABALHO DE CONCLUSÃO DE CURSO EM INTEREPRETAÇÃO TEATRAL 2,106097,2,         Departamento: CEN - Departamento de Artes Cênicas         
VOZ E PALAVRA NA PERFORMANCE TEATRAL CONTEMPORANEA 1,158194,4,         Departamento: CEN - Departamento de Artes Cênicas         
VOZ NO TEATRO CLASSICO,157627,2,         Departamento: CEN - Departamento de Artes Cênicas         
ANATOMIA ARTÍSTICA,154920,6,         Departamento: VIS - Departamento de Artes Visuais         
ARTE E CIÊNCIAS DA LINGUAGEM,103349,4,         Departamento: VIS - Departamento de Artes Visuais         
ARTE E LITERATURA,207799,4,         Departamento: VIS - Departamento de Artes Visuais         
ARTE ELETRONICA 1,156264,6,         Departamento: VIS - Departamento de Artes Visuais         
ATELIE 1,157074,8,         Departamento: VIS - Departamento de Artes Visuais         
ATELIE 2,157082,8,         Departamento: VIS - Departamento de Artes Visuais         
CRÍTICA E HISTÓRIA DA ARTE NO BRASIL 1,110426,4,         Departamento: VIS - Departamento de Artes Visuais         
CRÍTICA E HISTÓRIA DA ARTE NO BRASIL 2,111422,4,         Departamento: VIS - Departamento de Artes Visuais         
CRÍTICA E HISTÓRIA DA ARTE NO BRASIL 3,107280,4,         Departamento: VIS - Departamento de Artes Visuais         
DESENHO 1,153044,6,         Departamento: VIS - Departamento de Artes Visuais         
DESENHO 2,153052,6,         Departamento: VIS - Departamento de Artes Visuais         
DESENHO 3,156973,6,         Departamento: VIS - Departamento de Artes Visuais         
DIPLOMAÇÃO EM ARTES PLÁSTICAS - BACHARELADO,157201,6,         Departamento: VIS - Departamento de Artes Visuais         
DIPLOMAÇÃO EM ARTES PLÁSTICAS - LICENCIATURA,156124,6,         Departamento: VIS - Departamento de Artes Visuais         
"ELEMENTOS DE LINGUAGEM, ARTE E CULTURA POPULAR",153605,4,         Departamento: VIS - Departamento de Artes Visuais         
ESCULTURA 1,153061,6,         Departamento: VIS - Departamento de Artes Visuais         
ESCULTURA 2,157287,6,         Departamento: VIS - Departamento de Artes Visuais         
